Codigo.PA,Saturaca.bases.ou.aluminio,Carater.Aluminico.Alitico,Atividade.argila,Horiz.diag.superficial,Horiz.diag.subsuperficial,Grup.classe.textural.superficial,Grup.classe.textural.subsuperficial,Classe.drenagem,Presenca.Concrecoes,Presenca.Contato.Litico,Presenca.Contato.litico.fragmentario,Presenca.Nodulos,Presenca.Petroplintita,Ocorrencia.Plintita,Codigo.Horizonte,Simbolo.Horizonte,Profundidade.Superior,Profundidade.Inferior,Classe.de.Textura,Cor.umida.nome,Cor.umida.Matiz,Cor.umida.Valor,Cor.umida.Croma,Cor.Seca.Nome,Cor.Seca.Matiz,Cor.Seca.Valor,Cor.Seca.Croma,Estrutura.Grau.de.Desenvolvimento.1.Ocorrencia,Estrutura.Grau.de.Desenvolvimento.2.Ocorrencia,Estrutura.Grau.de.Desenvolvimento.3.Ocorrencia,Estrutura.Tamanho.1.Ocorrencia,Estrutura.Tamanho.2.Ocorrencia,Estrutura.Tamanho.3.Ocorrencia,Estrutura.Forma.1.Ocorrencia,Estrutura.Forma.2.Ocorrencia,Estrutura.Forma.3.Ocorrencia,Consistencia.Seca,Consistencia.umida,Consistencia.Molhada.Plasticidade,Consistencia.Molhada.Pegajosidade,Cerosidade.Grau.de.desenvolvimento,Cerosidade.Quantidade,Superficie.de.compressao.desenvolvimento,Superficie.de.compressao.Quantidade,Superficie.de.friccao.Grau.de.desenvolvimento,Superficie.de.friccao.Quantidade,Transicao.horizonte.subjacente.Topografia,Transicao.horizonte.subjacente.Nitidez,Variegado.Nomenclatura,Variegado.Matiz,Variegado.Valor,Variegado.Croma,Mosqueado.Nome,Mosqueado.Quantidade,Mosqueado.Contraste,Mosqueado.Tamanho,Mosqueado.Matiz,Mosqueado.Valor,Mosqueado.Croma,Fracoes.amostra.total.Calhaus,Fracoes.amostra.total.Cascalho,Fracoes.amostra.total.Terra.Fina,Composicao.terrafina.Areia.Grossa,Composicao.terrafina.Areia.Fina,Composicao.terrafina.Areia.Total,Composicao.terrafina.Silte,Composicao.terrafina.Argila,Composicao.terrafina.Relacao.Silte.Argila,Composicao.terrafina.Argila.Dispersa.em.agua,Densidade.Particulas,Densidade.solo,Grau.de.Floculacao,pH.H2O,pH.KCl,Complexo.Sortivo.Calcio,Complexo.Sortivo.Magnesio,Complexo.Sortivo.Ca.Mg,Complexo.Sortivo.Potassio,Complexo.Sortivo.Sodio,Complexo.Sortivo.ValorS,Complexo.Sortivo.Hidrogenio,Complexo.Sortivo.AluminioTrocavel,Complexo.Sortivo.ValorT,Complexo.Sortivo.ValorVDelta.Sat.Bases,Complexo.Sortivo.Sat.Aluminio,Ataque.sulfurico.SiO2,Ataque.sulfurico.Al2O3,Ataque.sulfurico.Fe2O3,Ataque.sulfurico.TiO2,Ataque.sulfurico.MnO,Ataque.sulfurico.SiO2.Al2O3,Ataque.sulfurico.SiO2.R2O3,Ataque.sulfurico.Al2O3.Fe2O3,Carbono.organico,Nitrogenio.total,Saturacao.Sodio,Condutividade.Eletrica,Classificacao.Nivel.1,Classificacao.Nivel.2,Classificacao.Nivel.3,Ocorrencia-1-Nivel4
8484,Distrófico,?,Tb,A Fraco,?,Arenosa-areia,Arenosa-areia,Excessivamente drenado,?,?,?,?,?,?,26154,C2,55,120,Areia,Cinzento-claro,10YR,6,4,Cinzento-oliváceo,10YR,7,3,?,?,?,?,?,?,Grãos simples,?,?,Solta,Solta,Não-plástica,Não pegajosa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,160,750,910,30,60,0.5,40,?,?,33,4.8,3.9,?,?,0.2,0.03,0.02,0.3,0.8,0.3,1.4,21,50,?,?,?,?,?,?,?,?,1.3,0.2,1,?,NEOSSOLO,NEOSSOLO QUARTZARÊNICO,NEOSSOLO QUARTZARÊNICO Órtico,NEOSSOLO QUARTZARÊNICO Órtico Típico
8484,Distrófico,?,Tb,A Fraco,?,Arenosa-areia,Arenosa-areia,Excessivamente drenado,?,?,?,?,?,?,26153,C1,15,55,Areia,Cinzento-claro,10YR,6,4,Cinzento-oliváceo,10YR,7,3,?,?,?,?,?,?,Grãos simples,?,?,Solta,Solta,Não-plástica,Não pegajosa,?,?,?,?,?,?,Plana,Difusa,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,170,780,950,10,40,0.25,20,?,?,50,4.9,3.8,?,?,0.3,0.03,0.02,0.3,0.8,0.2,1.3,23,40,?,?,?,?,?,?,?,?,1.4,0.2,2,?,NEOSSOLO,NEOSSOLO QUARTZARÊNICO,NEOSSOLO QUARTZARÊNICO Órtico,NEOSSOLO QUARTZARÊNICO Órtico Típico
8484,Distrófico,?,Tb,A Fraco,?,Arenosa-areia,Arenosa-areia,Excessivamente drenado,?,?,?,?,?,?,26152,A1,0,15,Areia,Cinzento-esverdeado-escuro,10YR,6,3,Bruno-escuro,10YR,7,2,Fraca,?,?,Pequena a media,?,?,Granular,?,?,Solta,Solta,Não-plástica,Não pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,140,820,960,10,30,0.33,20,?,?,33,5.3,4,?,?,0.8,0.05,0.02,0.9,1.1,0.1,2.1,43,10,?,?,?,?,?,?,?,?,2.9,0.3,< 1,?,NEOSSOLO,NEOSSOLO QUARTZARÊNICO,NEOSSOLO QUARTZARÊNICO Órtico,NEOSSOLO QUARTZARÊNICO Órtico Típico
7716,Distrófico,?,Tb,A Moderado,Latossólico,Média,Média,Bem drenado,?,?,?,?,?,?,22877,3C,90,110,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,290,0,710,190,640,830,130,40,3.25,30,?,?,25,5.2,4.8,?,?,0.6,0.05,0.07,0.7,1.4,0,2.1,33,0,161,162,266,4.2,?,1.69,0.83,0.96,2.1,0.3,3,?,LATOSSOLO,LATOSSOLO AMARELO,LATOSSOLO AMARELO Distrófico,LATOSSOLO AMARELO Distrófico Típico
7716,Distrófico,?,Tb,A Moderado,Latossólico,Média,Média,Bem drenado,?,?,?,?,?,?,22876,2Cc,61,90,Franco-argilosa muito cascalhenta,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Plástica,Pegajosa,?,?,?,?,?,?,Plana,Abrupta,?,?,?,?,?,?,?,?,?,?,?,230,620,150,340,100,440,240,320,0.75,10,?,?,97,4.4,3.7,?,?,0.3,0.08,0.04,0.4,1.8,0.8,3,13,67,135,121,39,5.5,?,1.9,1.57,4.87,4.1,0.5,1,?,LATOSSOLO,LATOSSOLO AMARELO,LATOSSOLO AMARELO Distrófico,LATOSSOLO AMARELO Distrófico Típico
7716,Distrófico,?,Tb,A Moderado,Latossólico,Média,Média,Bem drenado,?,?,?,?,?,?,22875,Bw,19,61,Franco-argilo-arenosa,Amarelo-brunado,10YR,6,8,Amarelo,10YR,8,6,Fraca,?,?,Pequena,?,?,Blocos subangulares,?,?,Ligeiramente dura,Muito friável,Plástica,Pegajosa,?,?,?,?,?,?,Plana,Abrupta,?,?,?,?,?,?,?,?,?,?,?,0,30,970,390,160,550,210,240,0.88,100,?,?,58,4.3,3.6,?,?,0.2,0.06,0.03,0.3,1.7,0.8,2.8,11,73,126,94,34,4.6,?,2.28,1.85,4.34,3.3,0.4,1,?,LATOSSOLO,LATOSSOLO AMARELO,LATOSSOLO AMARELO Distrófico,LATOSSOLO AMARELO Distrófico Típico
7716,Distrófico,?,Tb,A Moderado,Latossólico,Média,Média,Bem drenado,?,?,?,?,?,?,22874,BA,10,19,Franco-arenosa,Bruno-forte,7.5YR,5,6,?,?,?,?,Fraca,?,?,Media,?,?,Granular,?,?,Ligeiramente dura,Muito friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,0,30,970,450,250,700,130,170,0.76,100,?,?,41,4.6,3.6,?,?,0.3,0.11,0.02,0.4,2.3,0.7,3.4,12,64,101,71,28,3.9,?,2.42,1.93,3.98,5.8,0.5,< 1,?,LATOSSOLO,LATOSSOLO AMARELO,LATOSSOLO AMARELO Distrófico,LATOSSOLO AMARELO Distrófico Típico
7716,Distrófico,?,Tb,A Moderado,Latossólico,Média,Média,Bem drenado,?,?,?,?,?,?,22873,A,0,10,Franco-arenosa,Bruno-escuro,7.5YR,4,4,Bruno-amarelado-claro,10YR,6,4,Fraca,?,?,Media,?,?,Granular,?,?,Ligeiramente dura,Muito friável,Não-plástica,Não pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,0,40,960,440,290,730,130,140,0.93,90,?,?,36,5.3,4,0.9,0.4,1.3,0.27,0.03,1.6,2.8,0.2,4.6,35,11,87,56,23,3.5,?,2.64,2.09,3.82,8.6,0.8,< 1,?,LATOSSOLO,LATOSSOLO AMARELO,LATOSSOLO AMARELO Distrófico,LATOSSOLO AMARELO Distrófico Típico
12570,Distrófico,?,?,A Moderado,?,Argilosa,?,Bem drenado,?,?,?,?,?,?,41690,Bw2,115,175,Argila,Cinzento-oliváceo-escuro,10YR,5,8,?,?,?,?,?,Forte,?,?,Pequena,?,Maciça que se desfaz,Granular,?,Ligeiramente dura,Muito friável,Plástica,Pegajosa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,130,280,410,80,510,0.16,0,?,1.21,100,4.5,4.1,0.4,0.4,0.8,0.02,0.02,0.4,2.8,0.5,3.7,11,56,165,184,70,10,?,1.52,1.23,4.13,2.6,0.3,< 1,?,LATOSSOLO,LATOSSOLO AMARELO,LATOSSOLO AMARELO Distrófico,LATOSSOLO AMARELO Distrófico Típico
12570,Distrófico,?,?,A Moderado,?,Argilosa,?,Bem drenado,?,?,?,?,?,?,41689,Bw1,80,115,Argila,Cinzento-oliváceo-escuro,10YR,5,6,?,?,?,?,?,Forte,?,?,Pequena,?,Maciça que se desfaz,Granular,?,Ligeiramente dura,Muito friável,Plástica,Pegajosa,?,?,?,?,?,?,Plana,Difusa,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,140,260,400,80,520,0.15,0,?,1.33,100,4.5,4,0.6,0.6,1.2,0.02,0.02,0.6,3.4,0.6,4.6,13,50,176,180,75,11,?,1.66,1.31,3.77,4.2,0.4,< 1,?,LATOSSOLO,LATOSSOLO AMARELO,LATOSSOLO AMARELO Distrófico,LATOSSOLO AMARELO Distrófico Típico
