tecnologia,tecnologiaClasse,cultura,culturaClasse,solo,regiao,uf,escala
adubacao,solo,pimentao,olericulturas,?,N,RR,pequena
irrigacao,planta,goiaba,frutiferas,?,NE,PE,pequena
irrigacao,solo,?,?,?,NE,PE,pequena
adubacao,solo,banana,frutiferas,?,NE,BA,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,SE,SP,pequena
?,?,nogueira,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,PE,pequena
'irrigacao por aspersao','engenharia agricola',?,?,?,SE,MG,pequena
'manejo de irrigacao',planta,limao,'base alimentar e commodities',?,NE,PI,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,SE,MG,pequena
manejo,solo,milho,'base alimentar e commodities',?,CO,MS,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
adubacao,solo,?,?,?,NE,BA,pequena
irrigacao,planta,?,?,?,SE,SP,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,S,RS,pequena
irrigacao,solo,?,?,?,SE,MG,pequena
'manejo de irrigacao','engenharia agricola',limao,'base alimentar e commodities',?,NE,PI,pequena
?,?,soja,'base alimentar e commodities',?,SE,MG,pequena
'adubacao por cobertura',solo,?,?,?,CO,GO,pequena
'manejo dos recursos hidricos',geotecnologias,?,?,?,SE,MG,pequena
'manejo organico',solo,?,?,?,NE,SE,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,SE,MG,pequena
manejo,solo,abacaxi,frutiferas,?,N,AC,pequena
manejo,solo,melao,frutiferas,?,SE,MG,pequena
irrigacao,'engenharia agricola',maca,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',trigo,'base alimentar e commodities',?,SE,SP,pequena
manejo,solo,manga,frutiferas,?,NE,PE,pequena
manejo,solo,?,?,latossolo,S,RS,pequena
irrigacao,planta,mamona,extrativas,latossolo,NE,BA,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',milho,'base alimentar e commodities',?,NE,PI,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
irrigacao,'engenharia agricola',goiaba,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,SE,SP,pequena
biofertilizante,planta,melao,frutiferas,?,SE,SP,pequena
adubacao,solo,soja,'base alimentar e commodities',latossolo,N,PA,pequena
irrigacao,'engenharia agricola',?,?,latossolo,NE,PB,pequena
adubacao,solo,?,?,?,CO,MT,pequena
?,?,melancia,frutiferas,argissolo,NE,PB,pequena
'manejo de irrigacao','engenharia agricola',banana,frutiferas,?,NE,PE,pequena
?,?,?,?,vertissolo,S,RS,pequena
'plantio direto',solo,?,?,latossolo,S,RS,pequena
?,?,soja,'base alimentar e commodities',?,S,RS,pequena
'melhoramento genetico','melhoramento genetico',mandioca,'base alimentar e commodities',?,N,AC,pequena
manejo,solo,uva,frutiferas,?,N,TO,pequena
irrigacao,'engenharia agricola',?,?,?,SE,SP,pequena
?,?,melao,frutiferas,argissolo,SE,SP,pequena
?,?,tomate,olericulturas,?,N,PA,pequena
manejo,solo,erva-mate,extrativas,?,S,PR,pequena
irrigacao,solo,tomate,olericulturas,?,SE,RJ,pequena
adubacao,planta,?,?,?,N,AM,pequena
irrigacao,solo,?,?,latossolo,SE,MG,pequena
irrigacao,planta,?,?,?,NE,PB,pequena
?,?,cebola,olericulturas,latossolo,SE,MG,pequena
?,?,nogueira,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,BA,pequena
adubacao,solo,uva,frutiferas,?,NE,BA,pequena
irrigacao,planta,uva,frutiferas,?,SE,MG,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PE,pequena
manejo,solo,melancia,frutiferas,?,CO,GO,pequena
irrigacao,planta,uva,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,CE,pequena
manejo,solo,?,?,latossolo,NE,PE,pequena
'manejo da cultura',planta,arroz,'base alimentar e commodities',?,SE,SP,pequena
'manejo nos cultivos',solo,melao,frutiferas,?,SE,MG,pequena
'plantio direto','sistemas de producao',soja,'base alimentar e commodities',?,SE,MG,pequena
'manejo de irrigacao',solo,mandioca,'base alimentar e commodities',?,SE,MG,pequena
manejo,solo,maca,frutiferas,?,S,RS,pequena
?,?,uva,frutiferas,?,NE,PE,pequena
?,?,nogueira,frutiferas,?,NE,BA,pequena
irrigacao,planta,manga,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
adubacao,solo,soja,'base alimentar e commodities',latossolo,N,PA,pequena
irrigacao,planta,?,?,?,SE,MG,pequena
npk,solo,?,?,?,NE,BA,pequena
irrigacao,planta,goiaba,frutiferas,?,NE,PE,pequena
irrigacao,planta,uva,frutiferas,?,NE,PB,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,planta,tomate,olericulturas,?,NE,PB,pequena
adubacao,solo,?,?,?,S,RS,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PE,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,CO,GO,pequena
?,?,melao,frutiferas,?,SE,SP,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
irrigacao,planta,abacate,frutiferas,?,NE,MA,pequena
adubacao,solo,seringueira,extrativas,?,SE,MG,pequena
adubacao,solo,mandioca,'base alimentar e commodities',?,N,PA,pequena
irrigacao,planta,?,?,?,NE,CE,pequena
adubacao,solo,?,?,?,SE,MG,pequena
?,?,feijao,'base alimentar e commodities',?,N,AP,pequena
?,?,feijao,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,'engenharia agricola',?,?,?,SE,SP,pequena
adubacao,planta,cacau,extrativas,?,NE,CE,pequena
manejo,solo,?,?,?,SE,MG,pequena
adubacao,planta,?,?,latossolo,SE,SP,pequena
'irrigacao por gotejamento','engenharia agricola',?,?,?,CO,GO,pequena
irrigacao,solo,tomate,olericulturas,?,NE,MA,pequena
'irrigacao suplementar',agrometeorologia,?,?,?,SE,SP,pequena
adubacao,planta,?,?,?,NE,PE,pequena
adubacao,solo,nogueira,frutiferas,?,NE,AL,pequena
'plantio direto',solo,?,?,latossolo,S,RS,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,NE,PB,pequena
irrigacao,solo,trigo,'base alimentar e commodities',?,SE,SP,pequena
biofertilizante,planta,melao,frutiferas,?,NE,PB,pequena
irrigacao,planta,?,?,?,SE,SP,pequena
manejo,solo,cafe,'base alimentar e commodities',?,N,AC,pequena
irrigacao,'engenharia agricola',laranja,'base alimentar e commodities',?,CO,MT,pequena
agrotoxico,'controle fitossanitario',arroz,'base alimentar e commodities',?,CO,MS,pequena
manejo,solo,?,?,?,CO,MT,pequena
manejo,solo,pimenta,olericulturas,?,N,AC,pequena
irrigacao,solo,mandioca,'base alimentar e commodities',?,NE,RN,pequena
?,?,melao,frutiferas,?,N,PA,pequena
manejo,solo,?,?,latossolo,CO,MT,pequena
irrigacao,'engenharia agricola',laranja,'base alimentar e commodities',?,CO,MT,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,planta,?,?,?,S,RS,pequena
irrigacao,planta,uva,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,CO,MT,pequena
adubacao,planta,?,?,?,N,AC,pequena
'manejo de irrigacao',planta,banana,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',milho,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,SE,MG,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,SE,MG,pequena
manejo,solo,?,?,?,CO,DF,pequena
irrigacao,'engenharia agricola',?,?,?,NE,BA,pequena
manejo,solo,soja,'base alimentar e commodities',?,CO,MS,pequena
irrigacao,planta,laranja,'base alimentar e commodities',?,NE,BA,pequena
adubacao,planta,?,?,argissolo,NE,PB,pequena
adubacao,planta,?,?,?,CO,MS,pequena
