Arquivo,solo,conceitos,cultura,culturaClasse1,animal,tecnologia,tecnologiaClasse,regiao,uf
A_1603.2011061500000.txt,?,'agricultura familiar',feijao,'culturas agricolas',ovino,adubacao,solo,CO,GO
A_1603.2011061500000.txt,?,'agricultura familiar',pitanga,'arboreas frutiferas',ovino,adubacao,solo,CO,GO
A_1603.2011061500000.txt,?,trabalho,arroz,'culturas agricolas',ovino,adubacao,solo,CO,GO
A_1603.2011061500000.txt,?,trabalho,feijao,'culturas agricolas',ovino,adubacao,solo,CO,GO
A_1603.2011061500000.txt,?,trabalho,pitanga,'arboreas frutiferas',ovino,adubacao,solo,CO,GO
A_2703.2013061500000.txt,?,trabalho,?,?,?,?,?,CO,MS
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,organico,'sistemas de producao',CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,'adubacao organica',solo,CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,'adubacao organica',planta,CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,'producao organica',solo,CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,'producao organica',planta,CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,'producao organica','sistemas de producao',CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,manejo,solo,CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,adubacao,solo,CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,organicos,'sistemas de producao',CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,organicos,'sistemas de producao',CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,agroecossistema,'sistemas de producao',CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,agroecossistema,'sistemas de producao',CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',araca,?,?,agroecossistema,ecologia,CO,DF
A_1769.2007061500000.txt,latossolo,'meio ambiente',feijao,'culturas agricolas',?,organico,'sistemas de producao',CO,DF
