Arquivo,solo,conceitos,cultura,culturaClasse1,animal,tecnologia,tecnologiaClasse,regiao,uf
A_4901.2008061500000.txt,latossolo,trabalho,araca,?,?,drenagem,'engenharia agricola',N,PA
A_4901.2008061500000.txt,latossolo,trabalho,araca,?,?,adubacao,solo,N,PA
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,drenagem,'engenharia agricola',N,PA
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,adubacao,solo,N,PA
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,drenagem,'engenharia agricola',N,PA
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,adubacao,solo,N,PA
A_749.2010061500000.txt,?,'meio ambiente',?,?,?,manejo,solo,N,RO
A_749.2010061500000.txt,?,'meio ambiente',?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,'meio ambiente',?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,'meio ambiente',?,?,?,agroecossistema,ecologia,N,RO
A_749.2010061500000.txt,?,ciencia,?,?,?,'transicao agroecologica',ecologia,N,RO
A_749.2010061500000.txt,?,ciencia,?,?,?,manejo,solo,N,RO
A_749.2010061500000.txt,?,ciencia,?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,ciencia,?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,ciencia,?,?,?,agroecossistema,ecologia,N,RO
A_749.2010061500000.txt,?,trabalho,?,?,?,'transicao agroecologica',ecologia,N,RO
A_749.2010061500000.txt,?,trabalho,?,?,?,manejo,solo,N,RO
A_749.2010061500000.txt,?,trabalho,?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,trabalho,?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,trabalho,?,?,?,agroecossistema,ecologia,N,RO
A_749.2010061500000.txt,?,'conhecimentos tradicionais',?,?,?,'transicao agroecologica',ecologia,N,RO
A_749.2010061500000.txt,?,'conhecimentos tradicionais',?,?,?,manejo,solo,N,RO
A_749.2010061500000.txt,?,'conhecimentos tradicionais',?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,'conhecimentos tradicionais',?,?,?,agroecossistema,'sistemas de producao',N,RO
A_5076.2009061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,organico,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,manejo,solo,N,PA
A_5076.2009061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,adubacao,solo,N,PA
A_5076.2009061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,organicos,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,organicos,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,organico,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,organico,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,manejo,solo,N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,adubacao,solo,N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,organicos,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,organicos,'sistemas de producao',N,PA
A_2905.2008061500000.txt,?,'agricultura familiar',?,?,?,biomassa,ecologia,N,AC
A_2905.2008061500000.txt,?,trabalho,?,?,?,biomassa,ecologia,N,AC
A_4548.2005061500000.txt,latossolo,'agricultura familiar',pimenta,horticolas,?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',arroz,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',arroz,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',milho,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',milho,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',pimentao,horticolas,?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',pimentao,horticolas,?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',pimentao,horticolas,?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',pimentao,horticolas,?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',feijao,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',feijao,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',maracuja,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',maracuja,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',algodao,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',algodao,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',laranja,'arboreas frutiferas',?,apicultura,'sistemas de producao',N,PA
A_845.2004061500000.txt,neossolo,trabalho,palmeira,'arboreas madeira semente produtos',ovino,'ecologia vegetal',ecologia,N,PA
A_845.2004061500000.txt,latossolo,trabalho,palmeira,'arboreas madeira semente produtos',suino,'ecologia vegetal',ecologia,N,PA
A_845.2004061500000.txt,latossolo,trabalho,palmeira,'arboreas madeira semente produtos',ovino,'ecologia vegetal',ecologia,N,PA
A_2999.2009061500000.txt,?,'agricultura familiar',nogueira,'arboreas madeira semente produtos',?,?,?,N,AM
A_5874.2010061500000.txt,?,?,?,?,?,'sistemas silvipastoris','sistemas de producao',N,PA
A_5874.2010061500000.txt,?,?,?,?,?,'sistemas silvipastoris','sistemas de producao',N,PA
A_2703.2013061500000.txt,?,'agricultura familiar',?,?,?,?,?,N,PA
A_2703.2013061500000.txt,?,trabalho,?,?,?,?,?,N,PA
A_1431.2009061500000.txt,?,trabalho,feijao,'culturas agricolas',?,adubacao,solo,N,PA
A_2566.2008061500000.txt,?,'agricultura familiar',cupuacu,'arboreas frutiferas',?,?,?,N,PA
A_2566.2008061500000.txt,?,'agricultura familiar',banana,'culturas agricolas',?,?,?,N,PA
A_2566.2008061500000.txt,?,trabalho,mandioca,'culturas agricolas',?,?,?,N,PA
A_2566.2008061500000.txt,?,trabalho,cupuacu,'arboreas frutiferas',?,?,?,N,PA
A_2566.2008061500000.txt,?,trabalho,banana,'culturas agricolas',?,?,?,N,PA
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,drenagem,'engenharia agricola',N,PA
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,manejo,solo,N,PA
A_643.2004061500000.txt,?,trabalho,?,?,?,?,?,N,RO
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',suino,organico,'sistemas de producao',N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',suino,'manejo do solo',?,N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',suino,'producao organica',solo,N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',suino,'producao organica',planta,N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',suino,'producao organica','sistemas de producao',N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',suino,manejo,solo,N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',suino,organicos,'sistemas de producao',N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',suino,organicos,'sistemas de producao',N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',aves,organico,'sistemas de producao',N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',aves,organico,'sistemas de producao',N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',aves,'manejo do solo',?,N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',aves,'producao organica',solo,N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',aves,'producao organica',planta,N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',aves,'producao organica','sistemas de producao',N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',aves,manejo,solo,N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',aves,organicos,'sistemas de producao',N,PA
A_2411.2014061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',aves,organicos,'sistemas de producao',N,PA
A_2411.2014061500000.txt,?,'meio ambiente',araticum,'arboreas madeira semente produtos',suino,organico,'sistemas de producao',N,PA
A_1327.2011061500000.txt,neossolo,trabalho,crotalaria,'adubos verdes',aves,organico,'sistemas de producao',N,AM
A_1327.2011061500000.txt,neossolo,trabalho,crotalaria,'adubos verdes',aves,'adubacao organica',solo,N,AM
A_1327.2011061500000.txt,neossolo,trabalho,crotalaria,'adubos verdes',aves,'adubacao organica',planta,N,AM
A_1327.2011061500000.txt,neossolo,trabalho,crotalaria,'adubos verdes',aves,manejo,solo,N,AM
