Arquivo,solo,conceitos,cultura,culturaClasse1,animal,tecnologia,tecnologiaClasse,regiao,uf
A_4423.2013061500000.txt,argissolo,trabalho,?,?,?,?,?,NE,PE
A_4423.2013061500000.txt,planossolo,trabalho,?,?,?,?,?,NE,PE
A_4423.2013061500000.txt,luvissolo,trabalho,?,?,?,?,?,NE,PE
A_4423.2013061500000.txt,vertissolo,trabalho,?,?,?,?,?,NE,PE
A_4423.2013061500000.txt,cambissolo,trabalho,?,?,?,?,?,NE,PE
A_599.2011061500000.txt,?,ciencia,vagem,horticolas,?,geoprocessamento,geotecnologias,NE,PE
A_4595.2006061500000.txt,?,trabalho,?,?,?,manejo,solo,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'manejo de irrigacao','engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,organico,'sistemas de producao',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,organico,'sistemas de producao',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'adubacao organica',solo,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'adubacao organica',planta,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,drenagem,'engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'manejo organico',solo,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,manejo,solo,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,adubacao,solo,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'irrigacao localizada','engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,organicos,'sistemas de producao',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,organicos,'sistemas de producao',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'irrigacao por sulco','engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'irrigacao por sulco','engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',manga,'culturas agricolas',gado,'manejo de irrigacao',planta,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',manga,'culturas agricolas',gado,'manejo de irrigacao','engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',manga,'arboreas frutiferas',gado,'manejo de irrigacao',planta,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',manga,'arboreas frutiferas',gado,'manejo de irrigacao','engenharia agricola',NE,BA
A_2703.2013061500000.txt,?,'agricultura familiar',?,?,?,?,?,NE,BA
A_2703.2013061500000.txt,?,'agricultura familiar',?,?,?,?,?,NE,MA
A_2703.2013061500000.txt,?,trabalho,?,?,?,?,?,NE,BA
A_2703.2013061500000.txt,?,trabalho,?,?,?,?,?,NE,MA
A_880.1997061500000.txt,?,trabalho,tomate,horticolas,?,agroecossistema,'sistemas de producao',NE,PB
A_880.1997061500000.txt,?,trabalho,tomate,horticolas,?,agroecossistema,'sistemas de producao',NE,PB
A_880.1997061500000.txt,?,trabalho,tomate,horticolas,?,agroecossistema,ecologia,NE,PB
A_630.2015061500000.txt,?,trabalho,algodao,'culturas agricolas',?,?,?,NE,PB
A_56.2015061500000.txt,?,?,?,?,?,agroecossistema,'sistemas de producao',NE,BA
A_56.2015061500000.txt,?,?,?,?,?,agroecossistema,ecologia,NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',mandioca,'culturas agricolas',suino,psicultura,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',mandioca,'culturas agricolas',suino,psicultura,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',mandioca,'culturas agricolas',suino,agroecossistema,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',mandioca,'culturas agricolas',suino,agroecossistema,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',mandioca,'culturas agricolas',suino,agroecossistema,ecologia,NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',gergelim,'culturas agricolas',suino,adubacao,solo,NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',gergelim,'culturas agricolas',suino,psicultura,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',gergelim,'culturas agricolas',suino,psicultura,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',gergelim,'culturas agricolas',suino,agroecossistema,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',gergelim,'culturas agricolas',suino,agroecossistema,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',gergelim,'culturas agricolas',suino,agroecossistema,ecologia,NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',hortela-pimenta,'plantas medicinais e aromaticas',suino,adubacao,solo,NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',hortela-pimenta,'plantas medicinais e aromaticas',suino,psicultura,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',hortela-pimenta,'plantas medicinais e aromaticas',suino,psicultura,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',hortela-pimenta,'plantas medicinais e aromaticas',suino,agroecossistema,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',hortela-pimenta,'plantas medicinais e aromaticas',suino,agroecossistema,'sistemas de producao',NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',hortela-pimenta,'plantas medicinais e aromaticas',suino,agroecossistema,ecologia,NE,BA
A_17.2015061500000.txt,?,'agricultura tradicional',alho,?,suino,adubacao,solo,NE,BA
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,drenagem,'engenharia agricola',NE,MA
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,manejo,solo,NE,CE
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,manejo,solo,NE,MA
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,agroecossistema,'sistemas de producao',NE,CE
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,agroecossistema,'sistemas de producao',NE,CE
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,agroecossistema,ecologia,NE,CE
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,agroecossistema,'sistemas de producao',NE,MA
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,agroecossistema,'sistemas de producao',NE,MA
A_4801.2009061500000.txt,luvissolo,'meio ambiente',uva,'arboreas frutiferas',ovino,agroecossistema,ecologia,NE,MA
A_6342.2012061500000.txt,?,'meio ambiente',banana,'culturas agricolas',?,?,?,NE,PI
A_6342.2012061500000.txt,?,trabalho,milho,'culturas agricolas',?,?,?,NE,PI
A_6342.2012061500000.txt,?,trabalho,banana,'culturas agricolas',?,?,?,NE,PI
A_4799.2012061500000.txt,?,'agricultura familiar',mamona,'culturas agricolas',ovino,'manejo da cultura',?,NE,BA
A_4799.2012061500000.txt,?,'agricultura familiar',girassol,'culturas agricolas',ovino,manejo,solo,NE,BA
A_4799.2012061500000.txt,?,'agricultura familiar',girassol,'culturas agricolas',ovino,'manejo da cultura',?,NE,BA
A_4799.2012061500000.txt,?,'agricultura familiar',algodao,'culturas agricolas',ovino,manejo,solo,NE,BA
A_4799.2012061500000.txt,?,'agricultura familiar',algodao,'culturas agricolas',ovino,'manejo da cultura',?,NE,BA
A_2318.2010061500000.txt,?,'agricultura familiar',?,?,?,'sistemas agrossilvipastoris','sistemas de producao',NE,CE
A_2318.2010061500000.txt,?,'agricultura familiar',?,?,?,'sistemas agrossilvipastoris','sistemas de producao',NE,CE
A_5014.2007061500000.txt,?,?,repolho,horticolas,?,organico,'sistemas de producao',NE,SE
A_5014.2007061500000.txt,?,?,repolho,horticolas,?,'producao organica',solo,NE,SE
A_5014.2007061500000.txt,?,?,repolho,horticolas,?,'producao organica',planta,NE,SE
A_5014.2007061500000.txt,?,?,repolho,horticolas,?,'producao organica','sistemas de producao',NE,SE
A_5014.2007061500000.txt,?,?,repolho,horticolas,?,organicos,'sistemas de producao',NE,SE
A_5014.2007061500000.txt,?,?,repolho,horticolas,?,organicos,'sistemas de producao',NE,SE
A_5014.2007061500000.txt,?,?,coentro,horticolas,?,organico,'sistemas de producao',NE,SE
A_5014.2007061500000.txt,?,?,coentro,horticolas,?,organico,'sistemas de producao',NE,SE
A_5014.2007061500000.txt,?,?,coentro,horticolas,?,'producao organica',solo,NE,SE
A_5014.2007061500000.txt,?,?,coentro,horticolas,?,'producao organica',planta,NE,SE
A_5014.2007061500000.txt,?,?,coentro,horticolas,?,'producao organica','sistemas de producao',NE,SE
A_5014.2007061500000.txt,?,?,coentro,horticolas,?,organicos,'sistemas de producao',NE,SE
A_5014.2007061500000.txt,?,?,coentro,horticolas,?,organicos,'sistemas de producao',NE,SE
A_1710.2013061500000.txt,?,'agricultura familiar',palmeira,'arboreas madeira semente produtos',?,manejo,solo,NE,BA
A_1710.2013061500000.txt,?,'agricultura familiar',palmeira,'arboreas madeira semente produtos',?,safs,'sistemas de producao',NE,BA
A_1710.2013061500000.txt,?,'agricultura familiar',palmeira,'arboreas madeira semente produtos',?,safs,'sistemas de producao',NE,BA
A_1710.2013061500000.txt,?,'agricultura familiar',palmeira,'arboreas madeira semente produtos',?,agrosilvicultura,'sistemas de producao',NE,BA
A_1710.2013061500000.txt,?,'agricultura familiar',araucaria,'arboreas madeira semente produtos',?,manejo,solo,NE,BA
A_1710.2013061500000.txt,?,'agricultura familiar',araucaria,'arboreas madeira semente produtos',?,safs,'sistemas de producao',NE,BA
A_1710.2013061500000.txt,?,'agricultura familiar',araucaria,'arboreas madeira semente produtos',?,safs,'sistemas de producao',NE,BA
A_1710.2013061500000.txt,?,'agricultura familiar',araucaria,'arboreas madeira semente produtos',?,agrosilvicultura,'sistemas de producao',NE,BA
A_1710.2013061500000.txt,?,trabalho,palmeira,'arboreas madeira semente produtos',?,manejo,solo,NE,BA
A_5811.2010061500000.txt,?,'meio ambiente',leucena,'arboreas adubacaoverde e massa verde',?,?,?,NE,RN
A_5811.2010061500000.txt,?,'meio ambiente',leucena,'arboreas adubacaoverde e massa verde',?,?,?,NE,MA
A_5811.2010061500000.txt,?,trabalho,leucena,'arboreas adubacaoverde e massa verde',?,?,?,NE,PE
A_5811.2010061500000.txt,?,trabalho,leucena,'arboreas adubacaoverde e massa verde',?,?,?,NE,RN
A_5811.2010061500000.txt,?,trabalho,leucena,'arboreas adubacaoverde e massa verde',?,?,?,NE,MA
A_319.2015061500000.txt,?,?,?,?,?,safs,'sistemas de producao',NE,PB
A_319.2015061500000.txt,?,?,?,?,?,agrosilvicultura,'sistemas de producao',NE,PB
A_5010.2007061500000.txt,?,?,tomate,horticolas,?,organico,'sistemas de producao',NE,SE
A_5010.2007061500000.txt,?,?,tomate,horticolas,?,organicos,'sistemas de producao',NE,SE
A_5010.2007061500000.txt,?,?,tomate,horticolas,?,organicos,'sistemas de producao',NE,SE
A_737.2012061500000.txt,?,'meio ambiente',jabuticaba,'arboreas frutiferas',?,organico,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',jabuticaba,'arboreas frutiferas',?,safs,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',jabuticaba,'arboreas frutiferas',?,safs,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',jabuticaba,'arboreas frutiferas',?,organicos,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',jabuticaba,'arboreas frutiferas',?,organicos,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caja,?,?,organico,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caja,?,?,organico,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caja,?,?,safs,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caja,?,?,safs,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caja,?,?,organicos,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caja,?,?,organicos,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',?,organico,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',?,organico,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',?,safs,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',?,safs,'sistemas de producao',NE,BA
A_737.2012061500000.txt,?,'meio ambiente',caju,'arboreas frutiferas',?,organicos,'sistemas de producao',NE,BA
