Arquivo,solo,conceitos,cultura,culturaClasse1,animal,tecnologia,tecnologiaClasse,regiao,uf
A_4901.2008061500000.txt,latossolo,trabalho,araca,?,?,drenagem,'engenharia agricola',S,SC
A_4901.2008061500000.txt,latossolo,trabalho,araca,?,?,adubacao,solo,S,RS
A_4901.2008061500000.txt,latossolo,trabalho,araca,?,?,adubacao,solo,S,SC
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,drenagem,'engenharia agricola',S,RS
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,drenagem,'engenharia agricola',S,SC
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,adubacao,solo,S,RS
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,adubacao,solo,S,SC
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,drenagem,'engenharia agricola',S,RS
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,drenagem,'engenharia agricola',S,SC
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,adubacao,solo,S,RS
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,adubacao,solo,S,SC
A_4901.2008061500000.txt,latossolo,trabalho,algodao,'culturas agricolas',?,drenagem,'engenharia agricola',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,organico,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,manejo,solo,S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,apicultura,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,apicultura,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,organicos,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,organicos,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,organico,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,organico,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,manejo,solo,S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,apicultura,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,apicultura,'sistemas de producao',S,RS
