Arquivo,solo,conceitos,cultura,culturaClasse1,animal,tecnologia,tecnologiaClasse,regiao,uf
A_4595.2006061500000.txt,?,trabalho,?,?,?,'manejo do solo',?,SE,MG
A_4595.2006061500000.txt,?,trabalho,?,?,?,manejo,solo,SE,MG
A_2703.2013061500000.txt,?,'agricultura familiar',?,?,?,?,?,SE,MG
A_2703.2013061500000.txt,?,trabalho,?,?,?,?,?,SE,MG
A_758.2005061500000.txt,?,'movimento social',coentro,horticolas,ovino,organico,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'movimento social',coentro,horticolas,ovino,permacultura,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'movimento social',coentro,horticolas,ovino,'producao organica',solo,SE,SP
A_758.2005061500000.txt,?,'movimento social',coentro,horticolas,ovino,'producao organica',planta,SE,SP
A_758.2005061500000.txt,?,'movimento social',coentro,horticolas,ovino,'producao organica','sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'movimento social',coentro,horticolas,ovino,organicos,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'movimento social',coentro,horticolas,ovino,organicos,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'meio ambiente',coentro,horticolas,ovino,organico,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'meio ambiente',coentro,horticolas,ovino,organico,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'meio ambiente',coentro,horticolas,ovino,permacultura,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'meio ambiente',coentro,horticolas,ovino,'producao organica',solo,SE,SP
A_758.2005061500000.txt,?,'meio ambiente',coentro,horticolas,ovino,'producao organica',planta,SE,SP
A_758.2005061500000.txt,?,'meio ambiente',coentro,horticolas,ovino,'producao organica','sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'meio ambiente',coentro,horticolas,ovino,organicos,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'meio ambiente',coentro,horticolas,ovino,organicos,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'desenvolvimento local',coentro,horticolas,ovino,organico,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'desenvolvimento local',coentro,horticolas,ovino,organico,'sistemas de producao',SE,SP
A_758.2005061500000.txt,?,'desenvolvimento local',coentro,horticolas,ovino,permacultura,'sistemas de producao',SE,SP
