Arquivo,solo,conceitos,cultura,culturaClasse1,animal,tecnologia,tecnologiaClasse,regiao,uf
A_4901.2008061500000.txt,latossolo,trabalho,araca,?,?,drenagem,'engenharia agricola',S,SC
A_4901.2008061500000.txt,latossolo,trabalho,araca,?,?,drenagem,'engenharia agricola',N,PA
A_4901.2008061500000.txt,latossolo,trabalho,araca,?,?,adubacao,solo,S,RS
A_4901.2008061500000.txt,latossolo,trabalho,araca,?,?,adubacao,solo,S,SC
A_4901.2008061500000.txt,latossolo,trabalho,araca,?,?,adubacao,solo,N,PA
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,drenagem,'engenharia agricola',S,RS
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,drenagem,'engenharia agricola',S,SC
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,drenagem,'engenharia agricola',N,PA
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,adubacao,solo,S,RS
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,adubacao,solo,S,SC
A_4901.2008061500000.txt,latossolo,trabalho,mamona,'culturas agricolas',?,adubacao,solo,N,PA
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,drenagem,'engenharia agricola',S,RS
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,drenagem,'engenharia agricola',S,SC
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,drenagem,'engenharia agricola',N,PA
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,adubacao,solo,S,RS
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,adubacao,solo,S,SC
A_4901.2008061500000.txt,latossolo,trabalho,babosa,'plantas medicinais e aromaticas',?,adubacao,solo,N,PA
A_4901.2008061500000.txt,latossolo,trabalho,algodao,'culturas agricolas',?,drenagem,'engenharia agricola',S,RS
A_749.2010061500000.txt,?,'meio ambiente',?,?,?,manejo,solo,N,RO
A_749.2010061500000.txt,?,'meio ambiente',?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,'meio ambiente',?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,'meio ambiente',?,?,?,agroecossistema,ecologia,N,RO
A_749.2010061500000.txt,?,ciencia,?,?,?,'transicao agroecologica',ecologia,N,RO
A_749.2010061500000.txt,?,ciencia,?,?,?,manejo,solo,N,RO
A_749.2010061500000.txt,?,ciencia,?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,ciencia,?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,ciencia,?,?,?,agroecossistema,ecologia,N,RO
A_749.2010061500000.txt,?,trabalho,?,?,?,'transicao agroecologica',ecologia,N,RO
A_749.2010061500000.txt,?,trabalho,?,?,?,manejo,solo,N,RO
A_749.2010061500000.txt,?,trabalho,?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,trabalho,?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,trabalho,?,?,?,agroecossistema,ecologia,N,RO
A_749.2010061500000.txt,?,'conhecimentos tradicionais',?,?,?,'transicao agroecologica',ecologia,N,RO
A_749.2010061500000.txt,?,'conhecimentos tradicionais',?,?,?,manejo,solo,N,RO
A_749.2010061500000.txt,?,'conhecimentos tradicionais',?,?,?,agroecossistema,'sistemas de producao',N,RO
A_749.2010061500000.txt,?,'conhecimentos tradicionais',?,?,?,agroecossistema,'sistemas de producao',N,RO
A_4423.2013061500000.txt,argissolo,trabalho,?,?,?,?,?,NE,PE
A_4423.2013061500000.txt,planossolo,trabalho,?,?,?,?,?,NE,PE
A_4423.2013061500000.txt,luvissolo,trabalho,?,?,?,?,?,NE,PE
A_4423.2013061500000.txt,vertissolo,trabalho,?,?,?,?,?,NE,PE
A_4423.2013061500000.txt,cambissolo,trabalho,?,?,?,?,?,NE,PE
A_5076.2009061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,organico,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,manejo,solo,N,PA
A_5076.2009061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,adubacao,solo,N,PA
A_5076.2009061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,organicos,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,organicos,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,organico,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,organico,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,manejo,solo,N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,adubacao,solo,N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,organicos,'sistemas de producao',N,PA
A_5076.2009061500000.txt,latossolo,trabalho,mandioca,'culturas agricolas',?,organicos,'sistemas de producao',N,PA
A_599.2011061500000.txt,?,ciencia,vagem,horticolas,?,geoprocessamento,geotecnologias,NE,PE
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,organico,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,manejo,solo,S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,apicultura,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,apicultura,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,organicos,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,gado,organicos,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,organico,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,organico,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,manejo,solo,S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,apicultura,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,apicultura,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,organicos,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,suino,organicos,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,peixe,organico,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,peixe,organico,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,peixe,manejo,solo,S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,peixe,apicultura,'sistemas de producao',S,RS
A_4931.2009061500000.txt,?,'agricultura familiar',?,?,peixe,apicultura,'sistemas de producao',S,RS
A_2905.2008061500000.txt,?,'agricultura familiar',?,?,?,biomassa,ecologia,N,AC
A_2905.2008061500000.txt,?,trabalho,?,?,?,biomassa,ecologia,N,AC
A_4548.2005061500000.txt,latossolo,'agricultura familiar',pimenta,horticolas,?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',mandioca,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',arroz,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',arroz,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',milho,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',milho,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',pimentao,horticolas,?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',pimentao,horticolas,?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',pimentao,horticolas,?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',pimentao,horticolas,?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',feijao,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',feijao,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',maracuja,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',maracuja,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',algodao,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',algodao,'culturas agricolas',?,apicultura,'sistemas de producao',N,PA
A_4548.2005061500000.txt,latossolo,'agricultura familiar',laranja,'arboreas frutiferas',?,apicultura,'sistemas de producao',N,PA
A_845.2004061500000.txt,neossolo,trabalho,palmeira,'arboreas madeira semente produtos',ovino,'ecologia vegetal',ecologia,N,PA
A_845.2004061500000.txt,latossolo,trabalho,palmeira,'arboreas madeira semente produtos',suino,'ecologia vegetal',ecologia,N,PA
A_845.2004061500000.txt,latossolo,trabalho,palmeira,'arboreas madeira semente produtos',ovino,'ecologia vegetal',ecologia,N,PA
A_1432.2000061500000.txt,?,trabalho,?,?,?,?,?,S,RS
A_4595.2006061500000.txt,?,trabalho,?,?,?,'manejo do solo',?,SE,MG
A_4595.2006061500000.txt,?,trabalho,?,?,?,manejo,solo,NE,BA
A_4595.2006061500000.txt,?,trabalho,?,?,?,manejo,solo,SE,MG
A_2999.2009061500000.txt,?,'agricultura familiar',nogueira,'arboreas madeira semente produtos',?,?,?,N,AM
A_5874.2010061500000.txt,?,?,?,?,?,'sistemas silvipastoris','sistemas de producao',N,PA
A_5874.2010061500000.txt,?,?,?,?,?,'sistemas silvipastoris','sistemas de producao',N,PA
A_1603.2011061500000.txt,?,'agricultura familiar',feijao,'culturas agricolas',ovino,adubacao,solo,CO,GO
A_1603.2011061500000.txt,?,'agricultura familiar',pitanga,'arboreas frutiferas',ovino,adubacao,solo,CO,GO
A_1603.2011061500000.txt,?,trabalho,arroz,'culturas agricolas',ovino,adubacao,solo,CO,GO
A_1603.2011061500000.txt,?,trabalho,feijao,'culturas agricolas',ovino,adubacao,solo,CO,GO
A_1603.2011061500000.txt,?,trabalho,pitanga,'arboreas frutiferas',ovino,adubacao,solo,CO,GO
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'manejo de irrigacao','engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,organico,'sistemas de producao',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,organico,'sistemas de producao',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'adubacao organica',solo,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'adubacao organica',planta,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,drenagem,'engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'manejo organico',solo,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,manejo,solo,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,adubacao,solo,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'irrigacao localizada','engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,organicos,'sistemas de producao',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,organicos,'sistemas de producao',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'irrigacao por sulco','engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',banana,'culturas agricolas',gado,'irrigacao por sulco','engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',manga,'culturas agricolas',gado,'manejo de irrigacao',planta,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',manga,'culturas agricolas',gado,'manejo de irrigacao','engenharia agricola',NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',manga,'arboreas frutiferas',gado,'manejo de irrigacao',planta,NE,BA
A_743.2011061500000.txt,argissolo,'meio ambiente',manga,'arboreas frutiferas',gado,'manejo de irrigacao','engenharia agricola',NE,BA
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,organico,'sistemas de producao',S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,'ecologia vegetal',ecologia,S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,'transicao agroecologica',ecologia,S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,'producao organica',solo,S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,'producao organica',planta,S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,'producao organica','sistemas de producao',S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,manejo,solo,S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,organicos,'sistemas de producao',S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,organicos,'sistemas de producao',S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,agroecossistema,'sistemas de producao',S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,agroecossistema,'sistemas de producao',S,RS
A_222.2014061500000.txt,?,'meio ambiente','pepino ','culturas agricolas',gado,agroecossistema,ecologia,S,RS
A_222.2014061500000.txt,?,'meio ambiente',batata,horticolas,gado,organico,'sistemas de producao',S,RS
A_222.2014061500000.txt,?,'meio ambiente',batata,horticolas,gado,organico,'sistemas de producao',S,RS
A_222.2014061500000.txt,?,'meio ambiente',batata,horticolas,gado,'ecologia vegetal',ecologia,S,RS
A_222.2014061500000.txt,?,'meio ambiente',batata,horticolas,gado,'transicao agroecologica',ecologia,S,RS
A_222.2014061500000.txt,?,'meio ambiente',batata,horticolas,gado,'producao organica',solo,S,RS
A_222.2014061500000.txt,?,'meio ambiente',batata,horticolas,gado,'producao organica',planta,S,RS
A_2703.2013061500000.txt,?,'agricultura familiar',?,?,?,?,?,NE,BA
A_2703.2013061500000.txt,?,'agricultura familiar',?,?,?,?,?,NE,MA
