tecnologia,tecnologiaClasse,cultura,culturaClasse,solo,regiao,uf,escala
?,?,goiaba,frutiferas,?,NE,BA,pequena
'irrigacao por aspersao','engenharia agricola',?,?,argissolo,NE,MA,pequena
irrigacao,solo,?,?,argissolo,NE,MA,pequena
irrigacao,planta,?,?,argissolo,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,argissolo,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,argissolo,NE,MA,pequena
'irrigacao por sulco','engenharia agricola',?,?,argissolo,NE,MA,pequena
'irrigacao por sulco','engenharia agricola',?,?,argissolo,NE,MA,pequena
manejo,solo,banana,frutiferas,?,NE,BA,pequena
agrotoxico,'controle fitossanitario',uva,frutiferas,?,NE,PE,pequena
agrotoxico,'controle fitossanitario',uva,frutiferas,?,NE,MA,pequena
manejo,solo,uva,frutiferas,?,NE,PB,pequena
manejo,solo,uva,frutiferas,?,NE,PE,pequena
manejo,solo,uva,frutiferas,?,NE,MA,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,NE,BA,pequena
'adubacao mineral',solo,mandioca,'base alimentar e commodities',?,NE,BA,pequena
'adubacao mineral',planta,mandioca,'base alimentar e commodities',?,NE,BA,pequena
adubacao,solo,mandioca,'base alimentar e commodities',?,NE,BA,pequena
adubacao,planta,mandioca,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,planta,abacate,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,PB,pequena
irrigacao,solo,abacate,frutiferas,?,NE,PE,pequena
irrigacao,planta,abacate,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,PE,pequena
irrigacao,solo,abacate,frutiferas,?,NE,MA,pequena
irrigacao,planta,abacate,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,solo,?,?,?,NE,PE,pequena
irrigacao,planta,?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,solo,arroz,'base alimentar e commodities',?,NE,PE,pequena
