tecnologia,cultura,solo,regiao,uf,escala,Cluster
'irrigacao por aspersao',cebola,?,SE,SP,pequena,cluster0
'irrigacao por aspersao',?,?,SE,MG,pequena,cluster0
irrigacao,tomate,?,SE,MG,pequena,cluster0
irrigacao,?,?,SE,MG,pequena,cluster0
irrigacao,?,?,SE,SP,pequena,cluster0
irrigacao,?,?,SE,MG,pequena,cluster0
?,soja,?,SE,MG,pequena,cluster0
irrigacao,abacate,?,SE,MG,pequena,cluster0
irrigacao,trigo,?,SE,SP,pequena,cluster0
irrigacao,?,?,SE,MG,pequena,cluster0
irrigacao,?,?,SE,SP,pequena,cluster0
biofertilizante,melao,?,SE,SP,pequena,cluster0
irrigacao,?,?,SE,SP,pequena,cluster0
?,melao,argissolo,SE,SP,pequena,cluster0
irrigacao,tomate,?,SE,RJ,pequena,cluster0
irrigacao,?,latossolo,SE,MG,pequena,cluster0
?,cebola,latossolo,SE,MG,pequena,cluster0
irrigacao,uva,?,SE,MG,pequena,cluster0
'manejo da cultura',arroz,?,SE,SP,pequena,cluster0
irrigacao,?,?,SE,MG,pequena,cluster0
?,melao,?,SE,SP,pequena,cluster0
?,feijao,?,SE,MG,pequena,cluster0
irrigacao,?,?,SE,SP,pequena,cluster0
adubacao,?,latossolo,SE,SP,pequena,cluster0
'irrigacao suplementar',?,?,SE,SP,pequena,cluster0
irrigacao,trigo,?,SE,SP,pequena,cluster0
irrigacao,?,?,SE,SP,pequena,cluster0
irrigacao,milho,?,SE,MG,pequena,cluster0
irrigacao,banana,?,SE,MG,pequena,cluster0
'irrigacao por aspersao',cebola,?,SE,MG,pequena,cluster0
pos-colheita,?,?,SE,MG,pequena,cluster0
?,cana-de-acucar,?,SE,MG,pequena,cluster0
'manejo de poda',uva,?,SE,SP,pequena,cluster0
irrigacao,tomate,?,SE,MG,pequena,cluster0
'manejo do solo',?,?,SE,MG,pequena,cluster0
?,melao,argissolo,SE,MG,pequena,cluster0
irrigacao,?,?,SE,MG,pequena,cluster0
?,cana-de-acucar,?,SE,SP,pequena,cluster0
irrigacao,tomate,?,SE,ES,pequena,cluster0
irrigacao,?,?,SE,MG,pequena,cluster0
irrigacao,?,?,SE,MG,pequena,cluster0
irrigacao,?,?,SE,MG,pequena,cluster0
?,seringueira,?,SE,MG,pequena,cluster0
?,pimenta,?,SE,ES,pequena,cluster0
irrigacao,trigo,?,SE,SP,pequena,cluster0
irrigacao,tomate,?,SE,MG,pequena,cluster0
irrigacao,trigo,?,SE,SP,pequena,cluster0
'manejo da cultura',arroz,?,SE,SP,pequena,cluster0
irrigacao,tomate,?,SE,MG,pequena,cluster0
?,uva,?,SE,MG,pequena,cluster0
irrigacao,uva,?,SE,MG,pequena,cluster0
irrigacao,?,?,SE,SP,pequena,cluster0
irrigacao,milho,?,SE,MG,pequena,cluster0
